iteration,loss,max_conf,mean_conf,grad_norm,texture_mean,texture_std,spawn_idx,weather_name,timestamp
0,1.3499741554260254,0.8761996030807495,0.6938822269439697,0.3232056498527527,0.5287590622901917,0.2943490743637085,0,hazy,2026-02-28T22:20:02.768090
10,1.0040747721989949,0.814149796962738,0.5927860140800476,0.39691731333732605,0.5288689136505127,0.3027673661708832,1,golden_hour,2026-02-28T22:20:29.222376
20,0.8735108971595764,0.8042104840278625,0.5105944275856018,0.5437172055244446,0.5274693965911865,0.30774638056755066,2,hazy,2026-02-28T22:20:45.188343
30,0.9877184232076008,0.8154991865158081,0.5811454653739929,0.3590397834777832,0.5254269242286682,0.3121878504753113,3,clear_noon,2026-02-28T22:21:00.921195
40,0.5449839482704799,0.6061376333236694,0.39673104882240295,0.28281834721565247,0.5216631293296814,0.3181946873664856,4,partly_cloudy,2026-02-28T22:21:16.737804
50,0.6978572607040405,0.8906078934669495,0.4145147502422333,0.24683164060115814,0.5189918875694275,0.323386013507843,5,clear_afternoon,2026-02-28T22:21:31.441131
60,0.4684211810429891,0.7384611964225769,0.34362706542015076,0.2526286840438843,0.5171542167663574,0.3256296217441559,6,partly_cloudy,2026-02-28T22:21:46.316378
70,0.460396687189738,0.6767361760139465,0.34121274948120117,0.21228381991386414,0.5168532133102417,0.328014999628067,7,hazy,2026-02-28T22:22:02.516661
80,0.8913220564524332,0.8346611261367798,0.529045581817627,0.3623735010623932,0.5162216424942017,0.3286776840686798,8,clear_noon,2026-02-28T22:22:19.057593
90,0.8484133084615072,0.8331264853477478,0.5105714201927185,0.6002893447875977,0.5149985551834106,0.33179596066474915,9,partly_cloudy,2026-02-28T22:22:33.860192
100,0.29041948914527893,0.44497159123420715,0.24422180652618408,0.21113090217113495,0.513772189617157,0.3331637382507324,10,hazy,2026-02-28T22:22:48.933977
110,0.5495592355728149,0.8447454571723938,0.36550047993659973,0.2602105736732483,0.5128108263015747,0.3349708914756775,11,clear_afternoon,2026-02-28T22:23:04.135265
120,0.4614042441050212,0.704947292804718,0.34922531247138977,0.21639831364154816,0.5121625661849976,0.3363918662071228,12,golden_hour,2026-02-28T22:23:18.867919
130,0.5294375816980998,0.8198909163475037,0.34590139985084534,0.2530609965324402,0.5118514895439148,0.3378356099128723,13,hazy,2026-02-28T22:23:33.766333
140,0.5587544838587443,0.7944822311401367,0.38877344131469727,0.28984305262565613,0.5127559304237366,0.33990177512168884,14,clear_noon,2026-02-28T22:23:48.740141
150,0.46343370278676355,0.6921846270561218,0.3358084261417389,0.2318599820137024,0.5123846530914307,0.34392428398132324,15,overcast,2026-02-28T22:24:03.657893
160,0.6131503780682882,0.7534420490264893,0.42431846261024475,0.34561946988105774,0.5107764005661011,0.3462770879268646,16,partly_cloudy,2026-02-28T22:24:19.370597
170,0.2520085374514262,0.6636977791786194,0.1985170990228653,0.15990211069583893,0.5089438557624817,0.34869855642318726,17,overcast,2026-02-28T22:24:34.470705
180,0.3159841100374858,0.8081274628639221,0.22389477491378784,0.19009898602962494,0.508124828338623,0.35117289423942566,18,golden_hour,2026-02-28T22:24:49.675879
190,0.4752286871274312,0.8655028939247131,0.32537975907325745,0.31023526191711426,0.5088271498680115,0.35348206758499146,19,hazy,2026-02-28T22:25:04.688963
200,0.4009910921255747,0.6406301856040955,0.29753628373146057,0.3123895823955536,0.5092658996582031,0.3537222743034363,20,clear_afternoon,2026-02-28T22:25:19.356637
210,0.4214185277620951,0.5717918276786804,0.32507431507110596,0.24442654848098755,0.5098580718040466,0.3552085757255554,21,partly_cloudy,2026-02-28T22:25:34.022838
220,0.23831819494565326,0.4905218183994293,0.19790233671665192,0.2938377559185028,0.5100315809249878,0.35662126541137695,22,clear_afternoon,2026-02-28T22:25:48.693218
230,0.22794008255004886,0.6858588457107544,0.16905583441257477,0.15619942545890808,0.5099753141403198,0.357361376285553,23,golden_hour,2026-02-28T22:26:03.345239
240,0.451228529214859,0.7807661890983582,0.3105831742286682,0.4036194384098053,0.5097211599349976,0.3575924038887024,24,clear_noon,2026-02-28T22:26:18.025903
250,0.2946044156948725,0.5642753839492798,0.23900890350341797,0.28661662340164185,0.5092471837997437,0.3588971495628357,25,clear_afternoon,2026-02-28T22:26:32.686751
260,0.4337382515271504,0.5382833480834961,0.3360934555530548,0.20534300804138184,0.509195864200592,0.3602968156337738,26,overcast,2026-02-28T22:26:47.348116
270,0.46337708830833435,0.6511069536209106,0.3502027988433838,0.39591455459594727,0.5084571838378906,0.36002689599990845,27,clear_noon,2026-02-28T22:27:01.985880
280,0.5073465406894684,0.6223926544189453,0.37440764904022217,0.259382039308548,0.5067951679229736,0.36240196228027344,28,clear_noon,2026-02-28T22:27:16.670523
290,0.30299438039461773,0.597382128238678,0.24559925496578217,0.2288123220205307,0.5063456892967224,0.36484214663505554,29,hazy,2026-02-28T22:27:31.328515
300,0.6641820470492045,0.7835484743118286,0.44858303666114807,0.3747669458389282,0.5069066286087036,0.3660300672054291,30,overcast,2026-02-28T22:27:46.258746
310,0.32108959058920544,0.7428885102272034,0.23162931203842163,0.14179928600788116,0.5064557790756226,0.3665560781955719,31,overcast,2026-02-28T22:28:00.946902
320,0.43934904535611474,0.6659854650497437,0.32448431849479675,0.30782350897789,0.5067741870880127,0.3668261766433716,32,hazy,2026-02-28T22:28:15.609190
330,0.38408887386322016,0.6055639982223511,0.3025737702846527,0.19778773188591003,0.5061285495758057,0.36584392189979553,33,partly_cloudy,2026-02-28T22:28:30.254230
340,0.3334342340628306,0.6095051169395447,0.26300784945487976,0.21824108064174652,0.5056523680686951,0.3681415319442749,34,golden_hour,2026-02-28T22:28:44.943550
350,0.6420612732569376,0.7674387097358704,0.42159485816955566,0.4633971154689789,0.5058603286743164,0.3700389564037323,35,hazy,2026-02-28T22:28:59.601733
