viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,yolov5l,0.538954496383667,1,0.9483805894851685
1,1,-15,8,yolov5l,0.3967137038707733,1,0.9490747451782227
2,2,-15,8,yolov5l,0.31579944491386414,1,0.9587105512619019
3,3,-15,8,yolov5l,0.5028759837150574,1,0.9592896699905396
4,4,-15,8,yolov5l,0.47637230157852173,1,0.9561799168586731
5,5,-15,8,yolov5l,0.3258734941482544,1,0.9761204123497009
6,6,-15,8,yolov5l,0.40103769302368164,1,0.9734055399894714
7,7,-15,8,yolov5l,0.42827561497688293,1,0.9841559529304504
8,8,-15,8,yolov5l,0.47497543692588806,1,0.9765001535415649
9,9,-15,8,yolov5l,0.42055830359458923,1,0.9838321208953857
10,10,-15,8,yolov5l,0.41944611072540283,1,0.9820556044578552
11,11,-15,8,yolov5l,0.3304474353790283,1,0.9784833788871765
12,12,-15,8,yolov5l,0.37273117899894714,1,0.9748261570930481
13,13,-15,8,yolov5l,0.374686062335968,1,0.9697192907333374
14,14,-15,8,yolov5l,0.0,0,0.0
15,15,-15,8,yolov5l,0.0,0,0.0
16,16,-15,8,yolov5l,0.0,0,0.0
17,17,-15,8,yolov5l,0.0,0,0.0
18,18,-15,8,yolov5l,0.0,0,0.0
19,19,-15,8,yolov5l,0.3538377285003662,1,0.9858143925666809
20,20,-15,8,yolov5l,0.5152573585510254,1,0.9849989414215088
21,21,-15,8,yolov5l,0.471181720495224,1,0.987738847732544
22,22,-15,8,yolov5l,0.25713223218917847,1,0.984904408454895
23,23,-15,8,yolov5l,0.27943575382232666,1,0.9759612083435059
24,24,-15,8,yolov5l,0.42853978276252747,1,0.9752494096755981
25,25,-15,8,yolov5l,0.3899385929107666,1,0.9808146953582764
26,26,-15,8,yolov5l,0.4541594684123993,1,0.9817524552345276
27,27,-15,8,yolov5l,0.5065603852272034,1,0.9826337099075317
28,28,-15,8,yolov5l,0.4799717962741852,1,0.9834285378456116
29,29,-15,8,yolov5l,0.28490564227104187,1,0.9849205613136292
30,30,-15,8,yolov5l,0.35948461294174194,1,0.9843604564666748
31,31,-15,8,yolov5l,0.5608793497085571,1,0.9830384850502014
32,32,-15,8,yolov5l,0.4326660931110382,1,0.9873549342155457
33,33,-15,8,yolov5l,0.7328862547874451,1,0.9962083101272583
34,34,-15,8,yolov5l,0.7843859791755676,1,0.993075430393219
35,35,-15,8,yolov5l,0.7807235717773438,1,0.989785373210907
36,36,-15,8,yolov5l,0.7657099962234497,1,0.9834207892417908
37,37,-15,8,yolov5l,0.8150447010993958,1,0.9775749444961548
38,38,-15,8,yolov5l,0.8159303665161133,1,0.9811238050460815
39,39,-15,8,yolov5l,0.8164754509925842,1,0.9774137139320374
40,40,-15,8,yolov5l,0.6934048533439636,1,0.977678656578064
41,41,-15,8,yolov5l,0.8510798215866089,1,0.9868651628494263
42,42,-15,8,yolov5l,0.8304363489151001,1,0.981616735458374
43,43,-15,8,yolov5l,0.7879392504692078,1,0.9826844930648804
44,44,-15,8,yolov5l,0.7709643244743347,1,0.982064425945282
45,45,-15,8,yolov5l,0.7288992404937744,1,0.9683626890182495
46,46,-15,8,yolov5l,0.8669132590293884,1,0.9712255001068115
47,47,-15,8,yolov5l,0.8463019728660583,1,0.9779471755027771
48,48,-15,8,yolov5l,0.8558202981948853,1,0.9746806621551514
49,49,-15,8,yolov5l,0.8501850366592407,1,0.976097583770752
50,50,-15,8,yolov5l,0.8780878782272339,1,0.9827845096588135
51,51,-15,8,yolov5l,0.7922716736793518,1,0.9841192364692688
52,52,-15,8,yolov5l,0.8358150124549866,1,0.9845746755599976
53,53,-15,8,yolov5l,0.8717696666717529,1,0.9849742650985718
54,54,-15,8,yolov5l,0.7973307371139526,1,0.9816962480545044
55,55,-15,8,yolov5l,0.7915172576904297,1,0.9746623039245605
56,56,-15,8,yolov5l,0.8079379796981812,1,0.9667856097221375
57,57,-15,8,yolov5l,0.8858916163444519,1,0.9716113805770874
58,58,-15,8,yolov5l,0.7959444522857666,1,0.9641009569168091
59,59,-15,8,yolov5l,0.6978718042373657,1,0.9721437692642212
60,60,-15,8,yolov5l,0.7778087258338928,1,0.9677076935768127
61,61,-15,8,yolov5l,0.6884286999702454,1,0.9714382290840149
62,62,-15,8,yolov5l,0.750234842300415,1,0.9715122580528259
63,63,-15,8,yolov5l,0.7780620455741882,1,0.9752881526947021
64,64,-15,8,yolov5l,0.7679018974304199,1,0.9726768732070923
65,65,-15,8,yolov5l,0.7323383092880249,1,0.9772909879684448
66,66,-15,8,yolov5l,0.6892862319946289,1,0.9755568504333496
67,67,-15,8,yolov5l,0.6069945096969604,1,0.982944130897522
68,68,-15,8,yolov5l,0.6205825805664062,1,0.982178807258606
69,69,-15,8,yolov5l,0.6188516020774841,1,0.9826280474662781
70,70,-15,8,yolov5l,0.5485966205596924,1,0.9791496992111206
71,71,-15,8,yolov5l,0.5259764194488525,1,0.9804929494857788
72,72,-15,8,yolov5l,0.5682728886604309,1,0.9655699729919434
73,73,-15,8,yolov5l,0.6514926552772522,1,0.9760946035385132
74,74,-15,8,yolov5l,0.6575493216514587,1,0.978154182434082
75,75,-15,8,yolov5l,0.5523472428321838,1,0.9782615303993225
76,76,-15,8,yolov5l,0.7061354517936707,1,0.9837712645530701
77,77,-15,8,yolov5l,0.6768923997879028,1,0.9834601879119873
78,78,-15,8,yolov5l,0.7526016235351562,1,0.9808727502822876
79,79,-15,8,yolov5l,0.7832845449447632,1,0.9859609007835388
80,80,-15,8,yolov5l,0.7566474080085754,1,0.9875538945198059
81,81,-15,8,yolov5l,0.6543015837669373,1,0.9892731308937073
82,82,-15,8,yolov5l,0.6103139519691467,1,0.983741044998169
83,83,-15,8,yolov5l,0.6371840834617615,1,0.9654715061187744
84,84,-15,8,yolov5l,0.6048474311828613,1,0.9762231111526489
85,85,-15,8,yolov5l,0.0,0,0.0
86,86,-15,8,yolov5l,0.0,0,0.0
87,87,-15,8,yolov5l,0.5659345984458923,1,0.959705114364624
88,88,-15,8,yolov5l,0.0,0,0.0
89,89,-15,8,yolov5l,0.0,0,0.0
90,90,-15,8,yolov5l,0.0,0,0.0
91,91,-15,8,yolov5l,0.30369997024536133,1,0.9348371028900146
92,92,-15,8,yolov5l,0.0,0,0.0
93,93,-15,8,yolov5l,0.0,0,0.0
94,94,-15,8,yolov5l,0.0,0,0.0
95,95,-15,8,yolov5l,0.0,0,0.0
96,96,-15,8,yolov5l,0.0,0,0.0
97,97,-15,8,yolov5l,0.0,0,0.0
98,98,-15,8,yolov5l,0.5500126481056213,1,0.9284853339195251
99,99,-15,8,yolov5l,0.5448598861694336,1,0.9410482048988342
100,100,-15,8,yolov5l,0.6548590660095215,1,0.9114555716514587
101,101,-15,8,yolov5l,0.6289977431297302,1,0.9570692777633667
102,102,-15,8,yolov5l,0.7330703139305115,1,0.9386982321739197
103,103,-15,8,yolov5l,0.7670618891716003,1,0.9211069345474243
104,104,-15,8,yolov5l,0.7721699476242065,1,0.9579437971115112
105,105,-15,8,yolov5l,0.7962427735328674,1,0.9566051959991455
106,106,-15,8,yolov5l,0.809217095375061,1,0.919704794883728
107,107,-15,8,yolov5l,0.8143270611763,1,0.9567018151283264
108,108,-15,8,yolov5l,0.7813752889633179,1,0.9701010584831238
109,109,-15,8,yolov5l,0.8254227638244629,1,0.9740967154502869
110,110,-15,8,yolov5l,0.8485463261604309,1,0.9722597599029541
111,111,-15,8,yolov5l,0.8102801442146301,1,0.9652418494224548
112,112,-15,8,yolov5l,0.8099537491798401,1,0.9758083820343018
113,113,-15,8,yolov5l,0.815317690372467,1,0.9679059386253357
114,114,-15,8,yolov5l,0.7325227856636047,1,0.9656203389167786
115,115,-15,8,yolov5l,0.7283801436424255,1,0.9634105563163757
116,116,-15,8,yolov5l,0.7056724429130554,1,0.956908106803894
117,117,-15,8,yolov5l,0.7519391179084778,1,0.9659754633903503
118,118,-15,8,yolov5l,0.7970325350761414,1,0.9728752374649048
119,119,-15,8,yolov5l,0.7974815964698792,1,0.9741519689559937
120,120,-15,8,yolov5l,0.8181045651435852,1,0.9675758481025696
121,121,-15,8,yolov5l,0.7690912485122681,1,0.9693388342857361
122,122,-15,8,yolov5l,0.794533371925354,1,0.964148998260498
123,123,-15,8,yolov5l,0.8567986488342285,1,0.9648154377937317
124,124,-15,8,yolov5l,0.8380399346351624,1,0.9556265473365784
125,125,-15,8,yolov5l,0.8290664553642273,1,0.958526611328125
126,126,-15,8,yolov5l,0.8543441891670227,1,0.9629191160202026
127,127,-15,8,yolov5l,0.8016635179519653,1,0.9477402567863464
128,128,-15,8,yolov5l,0.8466166257858276,1,0.9601453542709351
129,129,-15,8,yolov5l,0.8669270873069763,1,0.9598393440246582
130,130,-15,8,yolov5l,0.8702505826950073,1,0.9621771574020386
131,131,-15,8,yolov5l,0.8745113611221313,1,0.9611059427261353
132,132,-15,8,yolov5l,0.5600444078445435,1,0.9617041945457458
133,133,-15,8,yolov5l,0.6460393667221069,1,0.9545983672142029
134,134,-15,8,yolov5l,0.6629486083984375,1,0.9607590436935425
135,135,-15,8,yolov5l,0.6256725192070007,1,0.9566042423248291
136,136,-15,8,yolov5l,0.6982198357582092,1,0.9615042209625244
137,137,-15,8,yolov5l,0.6129477024078369,1,0.9634233713150024
138,138,-15,8,yolov5l,0.30392441153526306,1,0.9654337763786316
139,139,-15,8,yolov5l,0.0,0,0.0
140,140,-15,8,yolov5l,0.31911879777908325,1,0.9638595581054688
141,141,-15,8,yolov5l,0.533961296081543,1,0.9680934548377991
142,142,-15,8,yolov5l,0.43084073066711426,1,0.9698874354362488
143,143,-15,8,yolov5l,0.4415551424026489,1,0.9722526669502258
144,144,-15,8,yolov5l,0.4540365934371948,1,0.9619737267494202
145,145,-15,8,yolov5l,0.36700496077537537,1,0.981231153011322
146,146,-15,8,yolov5l,0.3415665924549103,1,0.9729188084602356
147,147,-15,8,yolov5l,0.3018229305744171,1,0.9741289615631104
148,148,-15,8,yolov5l,0.29737260937690735,1,0.970214307308197
149,149,-15,8,yolov5l,0.4426897466182709,1,0.9934102892875671
150,150,-15,8,yolov5l,0.41424182057380676,1,0.9911579489707947
151,151,-15,8,yolov5l,0.0,0,0.0
152,152,-15,8,yolov5l,0.2560782730579376,1,0.9756721258163452
153,153,-15,8,yolov5l,0.2594835162162781,1,0.9698998332023621
154,154,-15,8,yolov5l,0.0,0,0.0
155,155,-15,8,yolov5l,0.3532503545284271,1,0.9937671422958374
156,156,-15,8,yolov5l,0.2535397410392761,1,0.9933977723121643
157,157,-15,8,yolov5l,0.2785012423992157,1,0.9871548414230347
158,158,-15,8,yolov5l,0.2603197693824768,1,0.9912587404251099
159,159,-15,8,yolov5l,0.0,0,0.0
160,160,-15,8,yolov5l,0.39743292331695557,1,0.9763506650924683
161,161,-15,8,yolov5l,0.3231021463871002,1,0.9698072075843811
162,162,-15,8,yolov5l,0.32479631900787354,1,0.9737879037857056
163,163,-15,8,yolov5l,0.38266441226005554,1,0.9772148132324219
164,164,-15,8,yolov5l,0.0,0,0.0
165,165,-15,8,yolov5l,0.0,0,0.0
166,166,-15,8,yolov5l,0.0,0,0.0
167,167,-15,8,yolov5l,0.2530476748943329,1,0.9754966497421265
168,168,-15,8,yolov5l,0.0,0,0.0
169,169,-15,8,yolov5l,0.0,0,0.0
170,170,-15,8,yolov5l,0.0,0,0.0
171,171,-15,8,yolov5l,0.37276673316955566,1,0.9809112548828125
