viewpoint,yaw,pitch,distance,max_conf_carla,num_detections,iou
74,74,-15,8,0.0,0,0.0
75,75,-15,8,0.0,0,0.0
76,76,-15,8,0.0,0,0.0
77,77,-15,8,0.0,0,0.0
78,78,-15,8,0.0,0,0.0
79,79,-15,8,0.04801559075713158,3,0.9476215839385986
80,80,-15,8,0.08297403901815414,30,0.9527407288551331
81,81,-15,8,0.09635825455188751,25,0.9357518553733826
82,82,-15,8,0.10633540898561478,38,0.9475734829902649
83,83,-15,8,0.07489040493965149,17,0.9589491486549377
84,84,-15,8,0.08248572796583176,26,0.9475651383399963
85,85,-15,8,0.07888513058423996,28,0.9657301902770996
86,86,-15,8,0.13569016754627228,40,0.9439778923988342
87,87,-15,8,0.11395325511693954,46,0.9402153491973877
88,88,-15,8,0.10702382773160934,29,0.9156515598297119
89,89,-15,8,0.10033829510211945,31,0.917310893535614
90,90,-15,8,0.09888982772827148,28,0.9243130683898926
91,91,-15,8,0.07036136090755463,22,0.9245660901069641
92,92,-15,8,0.06837312877178192,23,0.9414209723472595
93,93,-15,8,0.07373003661632538,29,0.941180944442749
94,94,-15,8,0.060236651450395584,28,0.9418867230415344
95,95,-15,8,0.07321653515100479,36,0.9479105472564697
96,96,-15,8,0.064366415143013,19,0.9294129014015198
97,97,-15,8,0.08578557521104813,41,0.9592409133911133
98,98,-15,8,0.0560944601893425,25,0.9303900599479675
99,99,-15,8,0.07878594100475311,37,0.9346106052398682
100,100,-15,8,0.045023221522569656,10,0.9313592910766602
101,101,-15,8,0.04564974829554558,14,0.9395313858985901
102,102,-15,8,0.056336622685194016,24,0.948221743106842
103,103,-15,8,0.05833811312913895,24,0.9411255717277527
104,104,-15,8,0.044219762086868286,18,0.9373615980148315
105,105,-15,8,0.03572649508714676,3,0.9536142349243164
106,106,-15,8,0.03698710352182388,5,0.9503690004348755
107,107,-15,8,0.035873379558324814,8,0.9438187479972839
108,108,-15,8,0.042287103831768036,20,0.9412962794303894
109,109,-15,8,0.03837638348340988,12,0.9524614810943604
110,110,-15,8,0.04194188117980957,10,0.9588571786880493
111,111,-15,8,0.04272344708442688,13,0.9164313077926636
112,112,-15,8,0.051931533962488174,18,0.9210671186447144
113,113,-15,8,0.06688450276851654,26,0.9341815710067749
114,114,-15,8,0.09337026625871658,31,0.9418340921401978
115,115,-15,8,0.07991740107536316,29,0.9643012285232544
116,116,-15,8,0.08045832067728043,24,0.9391195178031921
117,117,-15,8,0.06708468496799469,23,0.9473878741264343
118,118,-15,8,0.06903861463069916,20,0.9567404985427856
119,119,-15,8,0.05404789745807648,17,0.984286904335022
120,120,-15,8,0.05211750790476799,16,0.9584591388702393
121,121,-15,8,0.08981186896562576,29,0.9503289461135864
122,122,-15,8,0.06486617773771286,9,0.9512513875961304
123,123,-15,8,0.09119085222482681,32,0.9714525938034058
124,124,-15,8,0.11842802911996841,31,0.9461415410041809
125,125,-15,8,0.21165767312049866,38,0.9519485831260681
126,126,-15,8,0.36906057596206665,40,0.961829423904419
127,127,-15,8,0.45259472727775574,44,0.9580369591712952
128,128,-15,8,0.7834694385528564,54,0.9503233432769775
129,129,-15,8,0.6437150239944458,49,0.9559232592582703
130,130,-15,8,0.7802837491035461,58,0.9550867080688477
131,131,-15,8,0.5817392468452454,52,0.9575878381729126
132,132,-15,8,0.7408612966537476,55,0.9540102481842041
133,133,-15,8,0.5084319114685059,52,0.9388093948364258
134,134,-15,8,0.2811407446861267,39,0.9236025214195251
135,135,-15,8,0.514247715473175,49,0.9259088039398193
136,136,-15,8,0.5216403603553772,49,0.9347690939903259
137,137,-15,8,0.4327535033226013,45,0.9458645582199097
138,138,-15,8,0.36684173345565796,44,0.9385728240013123
139,139,-15,8,0.3806849718093872,46,0.9336845874786377
140,140,-15,8,0.5646464228630066,54,0.9459456205368042
141,141,-15,8,0.5027722716331482,52,0.9317441582679749
142,142,-15,8,0.3591250777244568,49,0.932658314704895
143,143,-15,8,0.3901331126689911,50,0.9285968542098999
144,144,-15,8,0.5271970629692078,59,0.9133487939834595
145,145,-15,8,0.6152962446212769,64,0.9366447329521179
146,146,-15,8,0.39982277154922485,56,0.9264826774597168
147,147,-15,8,0.3385252356529236,53,0.9093732237815857
148,148,-15,8,0.4062803387641907,58,0.9147859215736389
149,149,-15,8,0.623013973236084,66,0.9207696318626404
150,150,-15,8,0.5461017489433289,59,0.920301079750061
151,151,-15,8,0.3726482093334198,54,0.9213926792144775
152,152,-15,8,0.5941634774208069,71,0.9169601798057556
153,153,-15,8,0.6918119192123413,74,0.9078157544136047
154,154,-15,8,0.7529140710830688,82,0.9173434376716614
155,155,-15,8,0.6967315673828125,73,0.9283295273780823
156,156,-15,8,0.748964250087738,78,0.929124116897583
157,157,-15,8,0.7441307306289673,76,0.9361937046051025
158,158,-15,8,0.7742249369621277,81,0.9367174506187439
159,159,-15,8,0.7806145548820496,78,0.9437484741210938
160,160,-15,8,0.7881372570991516,83,0.9427832961082458
161,161,-15,8,0.7917155027389526,83,0.934004008769989
162,162,-15,8,0.7966297268867493,75,0.9338908791542053
163,163,-15,8,0.8166396021842957,79,0.9195687770843506
164,164,-15,8,0.8060518503189087,77,0.919322669506073
165,165,-15,8,0.8021426200866699,78,0.9238807559013367
166,166,-15,8,0.8268696069717407,76,0.9283381104469299
167,167,-15,8,0.8207293152809143,77,0.9276211261749268
168,168,-15,8,0.8296954035758972,73,0.947783350944519
169,169,-15,8,0.8386566638946533,75,0.9480020403862
170,170,-15,8,0.8230994343757629,70,0.9614944458007812
171,171,-15,8,0.8192254304885864,69,0.9565646648406982
172,172,-15,8,0.8118906021118164,68,0.9526171088218689
173,173,-15,8,0.8474283218383789,65,0.9524855613708496
174,174,-15,8,0.8272937536239624,67,0.9413191080093384
175,175,-15,8,0.7965867519378662,67,0.9198569655418396
176,176,-15,8,0.7894325256347656,63,0.9414914846420288
177,177,-15,8,0.7909145951271057,65,0.9375629425048828
178,178,-15,8,0.7600268721580505,68,0.9071635603904724
179,179,-15,8,0.7807544469833374,75,0.9002773761749268
180,180,-15,8,0.7876009941101074,72,0.8977445363998413
181,181,-15,8,0.775185227394104,62,0.9061516523361206
182,182,-15,8,0.7543586492538452,78,0.903737485408783
183,183,-15,8,0.7458816170692444,67,0.9119421243667603
184,184,-15,8,0.7053181529045105,70,0.9195494055747986
185,185,-15,8,0.6231043338775635,70,0.9277782440185547
186,186,-15,8,0.6298744678497314,73,0.9418497085571289
187,187,-15,8,0.6301566362380981,79,0.9384191036224365
188,188,-15,8,0.5376190543174744,65,0.9409803152084351
189,189,-15,8,0.6063777208328247,73,0.9338492155075073
190,190,-15,8,0.5366937518119812,72,0.9574507474899292
191,191,-15,8,0.6168357729911804,76,0.9599428176879883
192,192,-15,8,0.6522338390350342,74,0.9610463976860046
193,193,-15,8,0.5792057514190674,74,0.9717847108840942
194,194,-15,8,0.5928298234939575,71,0.9828404188156128
195,195,-15,8,0.6313738822937012,79,0.9880766868591309
196,196,-15,8,0.6079355478286743,74,0.9731310606002808
197,197,-15,8,0.6834697127342224,78,0.9573935270309448
198,198,-15,8,0.7001048922538757,82,0.9507330656051636
199,199,-15,8,0.6840187907218933,77,0.9416905641555786
200,200,-15,8,0.7614991664886475,78,0.9429532885551453
201,201,-15,8,0.6692519783973694,81,0.9440494775772095
202,202,-15,8,0.7348160743713379,79,0.9480502605438232
203,203,-15,8,0.7476741075515747,79,0.9335535764694214
204,204,-15,8,0.6673011779785156,80,0.9288763403892517
205,205,-15,8,0.7354761362075806,74,0.9199047684669495
206,206,-15,8,0.7380449771881104,75,0.9232909083366394
207,207,-15,8,0.7628399729728699,75,0.923954963684082
208,208,-15,8,0.7863199710845947,76,0.9194925427436829
209,209,-15,8,0.7555431127548218,71,0.9198102951049805
210,210,-15,8,0.6924859881401062,67,0.9251660704612732
211,211,-15,8,0.5840956568717957,54,0.9341447353363037
212,212,-15,8,0.5043402314186096,52,0.930591344833374
213,213,-15,8,0.5384777188301086,58,0.9235901832580566
214,214,-15,8,0.5749594569206238,59,0.9255926012992859
215,215,-15,8,0.5879530310630798,60,0.9184690117835999
216,216,-15,8,0.5638195276260376,61,0.9187195301055908
217,217,-15,8,0.6725161671638489,54,0.9211515784263611
218,218,-15,8,0.6221493482589722,62,0.9215472936630249
219,219,-15,8,0.5311642289161682,51,0.9292250275611877
220,220,-15,8,0.6071685552597046,55,0.9283490777015686
221,221,-15,8,0.5415103435516357,49,0.9374681115150452
222,222,-15,8,0.752674400806427,60,0.9467170238494873
223,223,-15,8,0.7337745428085327,61,0.9538729190826416
224,224,-15,8,0.7702485918998718,64,0.9535684585571289
225,225,-15,8,0.7478629350662231,63,0.9420872926712036
226,226,-15,8,0.7997522950172424,63,0.9439780712127686
227,227,-15,8,0.7454739809036255,62,0.9486702680587769
228,228,-15,8,0.7652488946914673,59,0.943431556224823
229,229,-15,8,0.7804396152496338,59,0.9392479062080383
230,230,-15,8,0.714031457901001,58,0.9347696900367737
231,231,-15,8,0.5125212669372559,51,0.9406718015670776
