viewpoint,yaw,pitch,distance,max_conf_carla,num_detections,iou
53,53,-15,8,0.07784169167280197,5,0.36335575580596924
54,54,-15,8,0.0796431377530098,4,0.37229564785957336
55,55,-15,8,0.08703190088272095,7,0.3901536762714386
56,56,-15,8,0.08949103951454163,6,0.38341641426086426
57,57,-15,8,0.09648868441581726,9,0.38898998498916626
58,58,-15,8,0.11222141236066818,11,0.3828480541706085
59,59,-15,8,0.0979592502117157,10,0.4008629322052002
60,60,-15,8,0.08047422021627426,7,0.4292749762535095
61,61,-15,8,0.0970299243927002,8,0.4787788987159729
62,62,-15,8,0.09341882169246674,8,0.4332984685897827
63,63,-15,8,0.11963405460119247,13,0.45369991660118103
64,64,-15,8,0.10528280586004257,10,0.510789692401886
65,65,-15,8,0.09892207384109497,7,0.7159975171089172
66,66,-15,8,0.12975025177001953,12,0.6992983222007751
67,67,-15,8,0.13808313012123108,14,0.7128754258155823
68,68,-15,8,0.12736086547374725,10,0.7499434351921082
69,69,-15,8,0.14641405642032623,14,0.809281051158905
70,70,-15,8,0.1770125925540924,13,0.8641754388809204
71,71,-15,8,0.11774008721113205,10,0.8595396876335144
72,72,-15,8,0.1507854461669922,8,0.8936899900436401
73,73,-15,8,0.14226700365543365,5,0.9248230457305908
74,74,-15,8,0.1267962008714676,5,0.9263448715209961
75,75,-15,8,0.11577305197715759,3,0.9514221549034119
76,76,-15,8,0.1274046152830124,5,0.9450753927230835
77,77,-15,8,0.1669979989528656,3,0.9553187489509583
78,78,-15,8,0.15619449317455292,3,0.9426810145378113
79,79,-15,8,0.13732552528381348,3,0.9305188655853271
80,80,-15,8,0.15882430970668793,4,0.9488399624824524
81,81,-15,8,0.13818086683750153,4,0.931724488735199
82,82,-15,8,0.16810275614261627,6,0.9542058110237122
83,83,-15,8,0.13595379889011383,5,0.9688308835029602
84,84,-15,8,0.12790077924728394,6,0.9428957104682922
85,85,-15,8,0.1348722130060196,6,0.957819938659668
86,86,-15,8,0.1757069081068039,6,0.9565537571907043
87,87,-15,8,0.2850629985332489,8,0.9436626434326172
88,88,-15,8,0.16308531165122986,6,0.9406389594078064
89,89,-15,8,0.12127172946929932,6,0.9316091537475586
90,90,-15,8,0.09499954432249069,14,0.9233086705207825
91,91,-15,8,0.09606722742319107,15,0.9528188705444336
92,92,-15,8,0.10211767256259918,19,0.9287498593330383
93,93,-15,8,0.08419845253229141,16,0.9406163692474365
94,94,-15,8,0.07115840166807175,16,0.9702160358428955
