viewpoint,yaw,pitch,distance,max_conf_carla,num_detections,iou
0,0,-15,8,0.8472657799720764,1,0.9426917433738708
1,1,-15,8,0.8442784547805786,1,0.9493505358695984
2,2,-15,8,0.8365662693977356,1,0.9543134570121765
3,3,-15,8,0.8358447551727295,2,0.95705646276474
4,4,-15,8,0.8341661095619202,2,0.9498443603515625
5,5,-15,8,0.8456432819366455,2,0.95292729139328
6,6,-15,8,0.8560609221458435,2,0.9600625038146973
7,7,-15,8,0.8729068040847778,3,0.9581441879272461
8,8,-15,8,0.8850929141044617,3,0.9528979063034058
9,9,-15,8,0.8854038119316101,3,0.9579439163208008
10,10,-15,8,0.8867969512939453,3,0.9509275555610657
11,11,-15,8,0.8832660913467407,2,0.9422069191932678
12,12,-15,8,0.8849923610687256,2,0.9484078288078308
13,13,-15,8,0.8828876614570618,3,0.9449313879013062
14,14,-15,8,0.8785657286643982,3,0.9453828930854797
15,15,-15,8,0.8810657858848572,2,0.9456928372383118
16,16,-15,8,0.8741001486778259,3,0.950755774974823
17,17,-15,8,0.8735725283622742,2,0.9529989361763
18,18,-15,8,0.8778573274612427,3,0.9458061456680298
19,19,-15,8,0.8736887574195862,3,0.9505766034126282
20,20,-15,8,0.8776863813400269,3,0.9420604705810547
21,21,-15,8,0.862257719039917,3,0.9513166546821594
22,22,-15,8,0.8685538172721863,3,0.9647331237792969
23,23,-15,8,0.8726235032081604,3,0.9649416208267212
24,24,-15,8,0.8608307242393494,4,0.968941330909729
25,25,-15,8,0.8581904172897339,5,0.973565936088562
26,26,-15,8,0.8640750050544739,3,0.9590614438056946
27,27,-15,8,0.846634030342102,3,0.960105299949646
28,28,-15,8,0.8381743431091309,5,0.9657565951347351
29,29,-15,8,0.8545300364494324,4,0.9618545770645142
30,30,-15,8,0.8549058437347412,4,0.9709564447402954
31,31,-15,8,0.8485994935035706,6,0.9787266850471497
32,32,-15,8,0.8448473811149597,6,0.9859192967414856
33,33,-15,8,0.8550679087638855,6,0.9850524663925171
34,34,-15,8,0.8631807565689087,8,0.9843114614486694
35,35,-15,8,0.8594467639923096,6,0.9814571142196655
36,36,-15,8,0.8652712106704712,4,0.9660201072692871
37,37,-15,8,0.8674554228782654,2,0.9683822393417358
38,38,-15,8,0.8579563498497009,3,0.9808424115180969
39,39,-15,8,0.8508932590484619,3,0.9808003306388855
40,40,-15,8,0.8323861956596375,3,0.9872519373893738
41,41,-15,8,0.8093876242637634,4,0.9840199947357178
42,42,-15,8,0.7601695656776428,3,0.9819689989089966
43,43,-15,8,0.7892841100692749,2,0.9764602780342102
44,44,-15,8,0.8003013730049133,2,0.9788229465484619
45,45,-15,8,0.8020811080932617,3,0.9805817604064941
46,46,-15,8,0.8136958479881287,4,0.9902639389038086
47,47,-15,8,0.8090705275535583,5,0.9809938073158264
48,48,-15,8,0.7775138020515442,2,0.9767628312110901
49,49,-15,8,0.7211576104164124,3,0.9764389395713806
50,50,-15,8,0.7757084369659424,3,0.9685243368148804
51,51,-15,8,0.8099366426467896,3,0.9670596718788147
52,52,-15,8,0.8120295405387878,2,0.9573071599006653
53,53,-15,8,0.778145968914032,4,0.9527139663696289
54,54,-15,8,0.7796332240104675,5,0.9596304297447205
55,55,-15,8,0.7868768572807312,3,0.9619078040122986
56,56,-15,8,0.7624730467796326,4,0.9702230095863342
